7dfef27d-3beb-457c-a3bd-374b63525c5b 200 ::1 GET /admin/admin-dashboard 31.397 [Tue, 12 Oct 2021 11:47:22 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36]
7df8095d-e6bb-42d5-960f-bf5139339dfc 200 ::1 GET /admin/admin-dashboard 35.313 [Tue, 12 Oct 2021 11:50:39 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36]
fba16dee-c8e8-41e9-b21d-d0d052baad98 200 ::1 GET /admin/admin-dashboard 48.399 [Tue, 12 Oct 2021 11:57:24 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36]
51019fba-4241-48e7-8226-d2d09eebfba9 200 ::1 GET /admin/admin-dashboard 44.719 [Tue, 12 Oct 2021 11:59:13 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36]
3d0a12f9-8c13-4fdb-983c-f5765871980f 304 ::1 GET /admin/admin-dashboard 29.284 [Tue, 12 Oct 2021 12:00:54 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36]
db0d1519-6a59-4905-afcd-de39f47a7cce 302 ::1 GET /logout 19.794 [Tue, 12 Oct 2021 12:01:39 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36]
f30add7c-484e-4c68-b0f2-b477a0b6f65b 200 ::1 GET /login 15.275 [Tue, 12 Oct 2021 12:01:39 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36]
9b5ce15a-acd5-4740-92c0-c9ca8bad7fd9 200 ::1 GET /login 52.822 [Tue, 12 Oct 2021 12:04:23 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36]
1fccce4a-ff31-490a-9afc-4e0325fad70c 302 ::1 POST /login 112.448 [Tue, 12 Oct 2021 12:04:32 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36]
743fde2e-a67d-4edd-8a22-effd32db3724 304 ::1 GET /admin/admin-dashboard 14.565 [Tue, 12 Oct 2021 12:04:32 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36]
